,demand_th,demand_el,wind,pv
0,0.14694523380000002,0.6137606201,0.2367538553453305,0.0
1,0.1500444621,0.6137606201,0.2407204943595075,0.0
2,0.1569258683,0.5575605122999999,0.32742079541352864,0.0
3,0.17405038420000002,0.5317384943,0.402503486603568,0.0
4,0.21751367940000002,0.5198798737,0.4288764231964384,0.0
5,0.2993166845,0.4987936035,0.4178296233849095,0.0
6,0.3541620446,0.4596755564,0.5370422710281637,0.0
7,0.3316082816,0.456313047,0.514437564553417,0.0
8,0.30623012190000004,0.4653995226,0.4771173052035658,0.0
9,0.2851263663,0.4949947381,0.3583948272733742,0.005895054484818239
10,0.2630026701,0.5271952566,0.22876694425681535,0.021099495555318804
11,0.2502968704,0.5673400241,0.17190165570381752,0.09359325859152123
12,0.2435902264,0.5789162966,0.17141608400283345,0.30534785295577416
13,0.2437331516,0.5674683642,0.22351573995629725,0.12300347715647772
14,0.246778243,0.5630277985000001,0.2297859751135488,0.07130911564586555
15,0.2542671496,0.5636951667,0.1857475800542838,0.016011993691622258
16,0.2675343843,0.6016581534000001,0.16680572981720235,0.0
17,0.2856671632,0.6631715393,0.17485982706440648,0.0
18,0.297276272,0.6793552195999999,0.19780543198894,0.0
19,0.2837494791,0.6689468416,0.22577377027845144,0.0
20,0.2626769986,0.6453964424,0.2318475822737267,0.0
21,0.2184679538,0.644382556,0.208973796832452,0.0
22,0.15072276369999998,0.6591673297999999,0.21598582922949505,0.0
23,0.1441735159,0.6166739393,0.20910810186858056,0.0
24,0.17276003760000003,0.577401884,0.16819055165599314,0.0
25,0.1774486003,0.5559562617,0.1401239204452453,0.0
26,0.18497688780000002,0.5432249288000001,0.1084342137431125,0.0
27,0.198377213,0.5380143227,0.11552692210150164,0.0
28,0.23343363420000002,0.5479735106,0.14827082566844696,0.0
29,0.3090781543,0.5724222901,0.16958816299333887,0.0
30,0.3621553123,0.6256705768,0.18196469707429536,0.0
31,0.3496276187,0.7105290177,0.1931345789503669,0.0
32,0.3293109494,0.7672039837000001,0.1945654442320116,0.0
33,0.31125788320000003,0.796401345,0.22303515236260565,0.0216998550220916
34,0.2890211734,0.8210939706,0.241746058085956,0.048832118563710766
35,0.2756799032,0.8440411715,0.29101282288451674,0.09900871719060696
36,0.2672108186,0.8465951384999999,0.3516350284293103,0.14983151597668945
37,0.2659853869,0.8364947765999999,0.3624425714939984,0.15608432088581714
38,0.27016844510000004,0.8224030391,0.33103558381828674,0.09953946703328906
39,0.27932909219999996,0.817128263,0.2865869654865596,0.02789979483184856
40,0.2895400515,0.832554737,0.26609917653154463,0.0
41,0.3060718235,0.8695166714,0.25978152507123936,0.0
42,0.31949358640000003,0.8405503220999999,0.23523507519372264,0.0
43,0.308095897,0.8392797556,0.17616488130232952,0.0
44,0.2873532149,0.7898816705,0.13425890750826447,0.0
45,0.2461959584,0.7672681537,0.12317719719273892,0.0
46,0.1766938357,0.7634436202,0.11894970277920375,0.0
47,0.1696068341,0.7047922175,0.14687678761971626,0.0
48,0.16559406710000002,0.6651736441,0.19802248804105024,0.0
49,0.1700881514,0.6370415052,0.2008943975896932,0.0
50,0.1773041705,0.6247593624000001,0.14659546882153102,0.0
51,0.19014865920000001,0.6222823994,0.10635732568067373,0.0
52,0.2237509635,0.6285453939,0.07921820235081173,0.0
53,0.2962577996,0.6413023948,0.06702754296891482,0.0
54,0.3471333528,0.6866449344,0.053640755392787565,0.0
55,0.3351252995,0.7620703817,0.04203251912996553,0.0
56,0.315651352,0.8055134884999999,0.0321086876974505,0.0
57,0.2983471149,0.8244564798999999,0.023567481433182,0.04464376639191195
58,0.2770327689,0.8420775687000001,0.01976287568044773,0.13486187417924309
59,0.2642448856,0.8589029493000001,0.03331870068924392,0.2445612016975077
60,0.25612709300000003,0.8584665931000001,0.04899236568189238,0.273702900961691
61,0.2549524913,0.8446957057,0.05312488043011264,0.12153384315840092
62,0.2589620391,0.8316178546999999,0.06774309203097623,0.08906774045759659
63,0.2677427087,0.8259708925,0.07578882104976722,0.04655873610145789
64,0.2775301242,0.8435791473,0.05987402658341812,0.0
65,0.2933761694,0.8846479631999999,0.0656635978176982,0.0
66,0.3062412067,0.8786416489,0.05685478555941429,0.0
67,0.29531628579999997,0.85050951,0.05338040010019587,0.0
68,0.27543399620000003,0.8057445006,0.05456243079957723,0.0
69,0.23598391510000002,0.7825791216,0.0578572645259962,0.0
70,0.1693646938,0.773261634,0.06595021085587607,0.0
71,0.1625716563,0.7217716059999999,0.088278755926001,0.0
72,0.16559406710000002,0.6783926692,0.12490513965682842,0.0
73,0.1700881514,0.6522369671,0.1781446992198666,0.0
74,0.1773041705,0.6348212222999999,0.23905245587459226,0.0
75,0.19014865920000001,0.6313047049,0.22307450479862004,0.0
76,0.2237509635,0.6394414640999999,0.16267104303722632,0.0
77,0.2962577996,0.6531866834000001,0.12909916560675147,0.0
78,0.3471333528,0.6982982109,0.13864935171009032,0.0
79,0.3351252995,0.7760209451000001,0.15963125462499306,0.0
80,0.315651352,0.8124695192,0.17524892690428054,0.0
81,0.2983471149,0.8300521061,0.16441815933239848,0.14271805499930948
82,0.2770327689,0.8477887009,0.1820650885277528,0.35872541127246577
83,0.2642448856,0.8643574014000001,0.2197967038664165,0.5153416149694594
84,0.25612709300000003,0.8597114915999999,0.23363048365742334,0.5473013932424595
85,0.2549524913,0.8486485793,0.2379262369945449,0.4663950917509963
86,0.2589620391,0.8378680151000001,0.2484075304159529,0.3171495331045196
87,0.2677427087,0.8339664776000001,0.25966864483438884,0.14137623433763732
