religion,Less than 30000 USD,30000-49999 USD,50000-99999 USD,100000 USD or more
Buddhist,84,42,75,30
Catholic,2209,1166,1596,1166
Evangelical Protestant,2612,1642,2089,1045
Hindu,29,22,58,62
Historically Black Protestant,903,375,290,136
Jehovah's Witness,100,52,46,8
Jewish,113,106,170,312
Mainline Protestant,1510,1042,1458,1198
Mormon,160,119,196,119
Muslim,70,35,59,41
Orthodox Christian,28,26,56,45
"Unaffiliated (religious ""nones"")",2241,1358,1765,1426
