Week,learn python: (Worldwide),learn piano: (Worldwide),learn german: (Worldwide)
2020-11-29,50,44,34
2020-12-06,54,43,35
2020-12-13,52,42,36
2020-12-20,48,56,34
2020-12-27,54,67,36
2021-01-03,58,58,42
2021-01-10,56,52,37
2021-01-17,49,43,38
2021-01-24,50,49,35
2021-01-31,51,47,40
2021-02-07,51,46,33
2021-02-14,54,40,33
2021-02-21,46,39,35
2021-02-28,51,39,32
2021-03-07,47,40,34
2021-03-14,48,38,33
2021-03-21,54,34,34
2021-03-28,50,36,29
2021-04-04,53,35,35
2021-04-11,48,35,41
2021-04-18,51,38,32
2021-04-25,57,35,34
2021-05-02,53,36,31
2021-05-09,61,36,33
2021-05-16,58,35,32
2021-05-23,57,36,39
2021-05-30,62,36,36
2021-06-06,53,33,34
2021-06-13,59,34,30
2021-06-20,55,32,32
2021-06-27,52,34,32
2021-07-04,57,36,32
2021-07-11,62,34,34
2021-07-18,54,35,34
2021-07-25,56,31,37
2021-08-01,51,29,33
2021-08-08,51,32,33
2021-08-15,52,38,30
2021-08-22,53,31,37
2021-08-29,49,31,36
2021-09-05,52,34,41
2021-09-12,50,37,34
2021-09-19,58,38,38
2021-09-26,55,34,35
2021-10-03,50,33,39
2021-10-10,50,36,35
2021-10-17,55,32,32
2021-10-24,54,34,34
2021-10-31,50,42,33
2021-11-07,53,38,36
2021-11-14,53,37,38
2021-11-21,51,40,33
2021-11-28,52,40,32
2021-12-05,58,43,30
2021-12-12,57,41,36
2021-12-19,51,51,34
2021-12-26,52,60,32
2022-01-02,59,49,35
2022-01-09,54,48,37
2022-01-16,59,39,34
2022-01-23,57,38,36
2022-01-30,54,40,37
2022-02-06,58,41,35
2022-02-13,53,38,35
2022-02-20,54,37,33
2022-02-27,56,34,36
2022-03-06,55,35,33
2022-03-13,49,31,31
2022-03-20,57,31,37
2022-03-27,52,33,32
2022-04-03,58,34,30
2022-04-10,52,34,33
2022-04-17,54,35,32
2022-04-24,55,28,30
2022-05-01,53,33,35
2022-05-08,53,31,34
2022-05-15,0,0,0
