#source : https://ens.dk/en/our-services/statistics-data-key-figures-and-energy-maps/overview-energy-sector
GSRN,connection_to_grid_date,decommissioning_date,capacity_kW,rotor_diameter_m,hub_height_m,manufacturer,model,local_authority_no,local_authority_name,location_type,cadastral_district,cadastral_no,x,y,coordinate_origin,installation_number,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017
570714700000007392,11/1/1986,9/13/2002,99,20,26,Nordtank,NTK 99 F,259,Køge,LAND,"Kimmerslev By, Kimmerslev",5h,688700.506,6152507.871,Stamdata,157454,,,,,,,,,,"13,700","200,000","200,000","156,640","169,400","147,090","165,600","152,830","178,490","153,080","105,850","135,830","144,117","132,185","137,769","107,286","77,121",,,,,,,,,,,,,,,,,,,,,,,
570714700000007613,8/1/1987,2/20/2002,95,0.1,0.1,Wind World,Ukendt-Wind World,259,Køge,LAND,Bjæverskov,5n,690719.509,6148707.888,Stamdata,159419,,,,,,,,,,,"45,202","150,000","144,305","170,258","136,371","135,645","100,183","158,257","142,364","108,301","121,238","115,195","112,282","119,965","47,911",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000007675,8/1/1987,2/20/2002,95,0.1,0.1,Wind World,Ukendt-Wind World,259,Køge,LAND,Bjæverskov,5n,690832.508,6148655.889,Stamdata,162085,,,,,,,,,,,"45,569","150,000","147,337","169,700","146,586","143,369","132,593","163,628","148,643","112,077","128,036","148,732","116,431","121,389","62,191","24,310",,,,,,,,,,,,,,,,,,,,,,,
570714700000012365,6/30/1999,11/18/2010,200,25,30,Norwin,Ukendt-Norwin,259,Køge,LAND,Bjæverskov,5d,688570.515,6149263.884,Stamdata,193237,,,,,,,,,,,,,,,,,,,,,,,"93,593","204,248","173,535","203,523","178,439","182,144","178,435","151,035","211,635","196,643","161,620","129,424",,,,,,,,,,,,,,,
570714700000004483,4/14/1987,8/8/2002,99,19,24,Danwin,DW 19,265,Roskilde,LAND,Ramsølille,2h,694036,6160714,Stamdata,33-7713,,,,,,,,,,,"92,200","164,780","81,140","70,630","130,040","146,210","165,570","179,040","153,900","131,690","151,700","172,020","145,350","152,590","120,189","96,930",,,,,,,,,,,,,,,,,,,,,,,
570714700000004490,5/6/1987,8/8/2002,99,19,24,Danwin,DW 19,265,Roskilde,LAND,Øster Syv,2i,692053,6162333,Stamdata,33-7714,,,,,,,,,,,"98,565","189,515","165,860","171,590","135,195","178,295","190,220","206,660","179,650","138,940","145,570","178,750","149,570","153,610","151,391","90,790",,,,,,,,,,,,,,,,,,,,,,,
570714700000004506,5/6/1987,8/8/2002,99,19,24,Danwin,DW 19,265,Roskilde,LAND,Assendløse,3f,688686,6162579,Stamdata,33-7717,,,,,,,,,,,"82,920","172,195","147,630","142,795","73,190","141,860","171,100","187,700","164,610","127,680","144,680","164,180","144,018","152,432","121,189","104,160",,,,,,,,,,,,,,,,,,,,,,,
570714700000004537,6/30/1981,7/5/2002,55,16,20.5,Nordtank,NTK 55/11,265,Roskilde,LAND,Vindinge,2m,698641,6166796,Stamdata,37-8221,,,,,"49,500","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","99,000","53,430","31,434",,,,,,,,,,,,,,,,,,,,,,,
570714700000004544,12/6/1985,4/5/2002,75,17,22,Vestas Wind Systems A/S,V 17-75 ,265,Roskilde,LAND,Veddelev,7c,695885,6173870,Stamdata,37-9423,,,,,,,,,,"142,658","116,659","145,239","132,439","137,280","117,950","136,410","135,880","145,080","143,760","109,360","122,650","135,609","125,439","125,472","119,559","3,405",,,,,,,,,,,,,,,,,,,,,,,
570714700000004551,10/14/1987,4/5/2002,90,19,23.4,Vestas Wind Systems A/S,V 19-90 ,265,Roskilde,LAND,Veddelev,7c,695885,6173870,Stamdata,37-9629,,,,,,,,,,,"33,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","198,000","137,379","3,180",,,,,,,,,,,,,,,,,,,,,,,
