#source : https://ens.dk/en/our-services/statistics-data-key-figures-and-energy-maps/overview-energy-sector
GSRN,connection_to_grid_date,decommissioning_date,capacity_kW,rotor_diameter_m,hub_height_m,manufacturer,model,local_authority_no,local_authority_name,location_type,cadastral_district,cadastral_no,x,y,coordinate_origin,installation_number,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017
570714700000004599,8/25/1992,11/14/2003,55,15.2,24,Reymo,55-Reymo,265,Roskilde,LAND,Kongemarken,4a,690496,6171254,Stamdata,37-10701,,,,,,,,,,,,,,,,"21,906","39,618","84,816","80,151","59,451","73,638","74,412","55,551","63,708","41,820","43,146","14,618",,,,,,,,,,,,,,,,,,,,,,
570714700000004612,10/5/1981,5/30/2012,55,16,23.4,Vestas Wind Systems A/S,V 55-16 ,265,Roskilde,LAND,Tågerup,3b,696633,6179577,Stamdata,40-9732,,,,,"11,018","59,432","72,062","73,160","57,506","71,235","58,252","72,523","66,132","68,890","69,430","81,250","79,060","70,910","78,110","52,260","51,500","71,850","51,960","46,280","40,321","36,550","19,064","47,858","33,393","25,307","33,367","51,164","33,532","34,701","44,656","18,309",,,,,,,,,,,,,
570714700000004629,11/12/1981,10/17/2003,55,15,22,Vestas Wind Systems A/S,V 55-15 ,265,Roskilde,LAND,Kirkerup,2m,700002,6179628,Stamdata,40-9740,,,,,"10,083","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","33,225","28,038","11,731",,,,,,,,,,,,,,,,,,,,,,
570714700000004636,5/18/1983,11/27/2001,55,15,18,Vestas Wind Systems A/S,"V 55-7,5 ",265,Roskilde,LAND,Gundsømagle,15n,696198,6180405,Stamdata,40-10159,,,,,,,"45,615","79,388","62,402","77,299","63,212","78,697","71,762","89,390","64,290","86,590","72,900","77,510","80,250","53,250","66,570","71,090","53,940","44,780","11,350",,,,,,,,,,,,,,,,,,,,,,,,
570714700000004643,12/12/1984,7/1/2002,55,15,18,Vestas Wind Systems A/S,V 55-11 ,265,Roskilde,LAND,Kirkerup,3k,698524,6179386,Stamdata,40-10368,,,,,,,,,"79,380","98,330","80,410","100,108","91,286","93,030","86,730","100,010","96,010","100,410","98,440","76,280","81,580","94,850","76,350","86,620","76,739","20,320",,,,,,,,,,,,,,,,,,,,,,,
570714700000004650,12/3/1984,11/20/2002,55,15,18,Vestas Wind Systems A/S,V 55-11 ,265,Roskilde,LAND,Store Valby,7a,697049,6176724,Stamdata,40-10398,,,,,,,,,"107,089","132,653","108,478","135,053","123,151","127,890","114,150","128,450","127,750","135,260","136,760","104,160","109,940","124,650","122,300","103,490","113,569","58,640",,,,,,,,,,,,,,,,,,,,,,,
570714700000004667,1/10/1986,11/1/2002,55,15,24.5,BONUS,55/11  ,265,Roskilde,LAND,Tågerup,7,697046,6178794,Stamdata,40-10488,,,,,,,,,,"109,285","97,493","121,376","110,680","207,490","180,870","196,590","193,520","146,000","92,130","74,030","90,130","107,595","85,371","98,490","73,677","66,732",,,,,,,,,,,,,,,,,,,,,,,
570714700000004674,9/17/1986,11/7/2002,95,19.4,24.5,BONUS,95-20  ,265,Roskilde,LAND,Gundsømagle,15p,696198,6180405,Stamdata,40-10584,,,,,,,,,,"46,919","153,474","191,072","174,234","198,250","159,150","191,000","182,750","185,200","187,000","139,100","160,150","174,049","137,550","187,893","138,216","126,651",,,,,,,,,,,,,,,,,,,,,,,
570714700000004681,9/17/1986,11/7/2002,95,19.4,24.5,BONUS,95-20  ,265,Roskilde,LAND,Gundsømagle,15q,696198,6180405,Stamdata,40-10584,,,,,,,,,,"46,919","153,474","191,072","174,234","198,250","159,150","191,000","182,750","185,200","187,000","139,100","160,150","174,049","137,550","187,893","138,216","126,651",,,,,,,,,,,,,,,,,,,,,,,
570714700000004698,7/8/1988,11/7/2002,150,23,24.5,BONUS,150 kW,265,Roskilde,LAND,Gundsømagle,17b,696451,6182580,Stamdata,40-10868,,,,,,,,,,,,"126,206","276,203","288,230","255,170","282,120","286,290","300,260","314,030","234,340","248,540","286,365","220,251","297,189","222,301","212,552",,,,,,,,,,,,,,,,,,,,,,,
570714700000007309,6/1/1986,7/11/2002,75,17,22.5,Windmatic,WM 07 75/15 17 S,265,Roskilde,LAND,"Hønske By, Ørsted",2c,692402.478,6157373.859,Stamdata,156288,,,,,,,,,,"48,570","140,000","140,000","121,930","125,210","118,690","130,310","122,290","134,690","116,700","86,180","110,890","115,106","101,495","97,604","89,011","54,500",,,,,,,,,,,,,,,,,,,,,,,
570714700000007040,6/1/1985,8/15/2002,55,15.3,23,Vestas Wind Systems A/S,V 55-11 ,269,Solrød,LAND,Havdrup,9m,699356.445,6160501.859,Stamdata,153230,,,,,,,,,"30,960","140,000","140,000","140,000","78,920","85,230","77,550","80,780","75,180","97,710","71,040","63,950","75,820","82,040","48,400","73,270","63,110","32,000",,,,,,,,,,,,,,,,,,,,,,,
570714700000005145,1/28/1982,10/16/2001,30,11,20,Vestas Wind Systems A/S,V 30-5 ,270,Gribskov,LAND,Ammendrup,12b,699950,6212010,Stamdata,95-12518,,,,,,"60,500","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","66,000","17,273",,,,,,,,,,,,,,,,,,,,,,,,
570714700000005152,11/16/1981,10/19/2001,55,15,18,Vestas Wind Systems A/S,V 55-11 ,270,Gribskov,LAND,Laugø,8e,699101,6214452,Stamdata,95-12686,,,,,"30,250","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","121,000","30,250",,,,,,,,,,,,,,,,,,,,,,,,
570714700000004452,9/8/1987,6/13/2002,75,17,30,Windmatic,VM 17 S,253,Greve,LAND,Tune,14e,703181,6166066,Stamdata,28-20116,,,,,,,,,,,"31,891","158,817","144,821","148,990","129,220","153,830","134,750","168,100","155,380","124,380","132,440","142,690","126,240","152,310","113,140","96,997",,,,,,,,,,,,,,,,,,,,,,,
570714700000006715,7/1/1982,9/3/2001,22,0.1,0.1,Kongsted,Ukendt-Kongsted,259,Køge,LAND,Udgået,0,695557,6152923,Stamdata,145334,,,,,,"4,733","13,772","13,982","10,990","13,614","11,133","13,860","12,639","9,359","5,639",95,"7,043","23,155","20,504","13,768","15,681","10,103","6,676","1,053","3,755",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006807,7/1/1983,7/19/2002,55,15.7,20.5,Nordtank,NTK 55/11,259,Køge,LAND,"St.Ladager By,Ejby",5o,695267.468,6157109.864,Stamdata,147703,,,,,,,"19,194","55,199","45,066","42,986","36,040","44,668","81,940","96,750","84,710","92,980","80,860","102,230","92,560","70,720","76,150","92,680","70,550","78,430","64,820","42,670",,,,,,,,,,,,,,,,,,,,,,,
570714700000006821,7/1/1983,6/26/2002,55,15.3,18,Vestas Wind Systems A/S,V 55-11 ,259,Køge,LAND,"St. Ladager, Ejby",2d,695222.471,6156246.867,Stamdata,148219,,,,,,,"26,100","63,594","49,987","61,920","50,636","63,040","52,230","53,720","47,740","60,050","54,050","73,852","70,780","42,952","62,624","55,272","56,668","52,708","41,084","36,308",,,,,,,,,,,,,,,,,,,,,,,
570714700000006869,9/1/1983,3/14/2002,55,0.1,0.1,Ukendt,Ukendt-Ukendt,259,Køge,LAND,"Vollerslev By, Vollerslev",9a,684957.8,6143024,Stamdata,150322,,,,,,,"18,173","73,801","58,011","71,859","58,763","73,159","59,040","65,030","59,000","70,820","70,550","77,150","76,120","56,530","63,230","78,090","53,550","54,850","49,910","38,640",,,,,,,,,,,,,,,,,,,,,,,
570714700000007378,10/2/1986,6/26/2002,99,20,26,Nordtank,Ukendt-Nordtank,259,Køge,LAND,Ejby,4n,694926.468,6157532.862,Stamdata,157356,,,,,,,,,,0,"37,470","150,000","150,000","185,800","158,980","187,970","176,830","201,730","193,590","149,290","153,940","143,408","144,630","152,411","125,078","68,825",,,,,,,,,,,,,,,,,,,,,,,
570714700000005169,11/19/1986,11/20/2002,55,16,22,Vestas Wind Systems A/S,V 55-11 ,270,Gribskov,LAND,Holløse,9a,694828,6215687,Stamdata,95-13878,,,,,,,,,,"27,052","88,487","110,164","100,456","116,750","93,150","105,220","105,360","110,140","99,420","77,650","93,410","100,200","93,930","95,420","76,483","61,695",,,,,,,,,,,,,,,,,,,,,,,
570714700000000607,4/28/1988,9/30/2005,200,25,30,Vestas Wind Systems A/S,V 25-200 ,306,Odsherred,LAND,"Asnæs By, Asnæs",8d,655916.1,6187067,Stamdata,004-03051,,,,,,,,,,,,"205,709","347,271","366,145","336,816","344,274","362,781","380,174","332,525","274,263","315,925","362,978","293,380","314,495","282,080","302,635","281,859","296,987","207,622",,,,,,,,,,,,,,,,,,,,
570714700000000614,4/28/1988,9/30/2005,200,25,30,Vestas Wind Systems A/S,V 25-200 ,306,Odsherred,LAND,"Asnæs By, Asnæs",8d,655886.9,6186960,Stamdata,004-03051,,,,,,,,,,,,"205,709","347,271","366,145","336,816","344,274","362,781","380,174","332,525","274,263","315,925","362,978","293,380","314,495","282,081","302,635","281,859","296,987","207,622",,,,,,,,,,,,,,,,,,,,
570714700000000621,4/28/1988,9/30/2005,200,25,30,Vestas Wind Systems A/S,V 25-200 ,306,Odsherred,LAND,"Asnæs By, Asnæs",8d,655857.373,6186852.909,Stamdata,004-03051,,,,,,,,,,,,"205,709","347,271","366,145","336,816","344,274","362,781","380,174","332,525","274,263","315,925","362,978","293,380","314,495","282,081","302,635","281,859","296,987","207,622",,,,,,,,,,,,,,,,,,,,
570714700000005244,7/9/1984,9/5/2002,55,15,18,Vestas Wind Systems A/S,V 55-16 ,306,Odsherred,LAND,"Vallekilde By, Vallekilde",3e,652580.3,6179985,Stamdata,085-00575,,,,,,,,560,"23,560","27,270","20,810","30,800","26,090","34,020","26,940","30,590","27,380","34,980","20,910","18,023","25,725","25,723","25,637","28,429","26,932","26,520",,,,,,,,,,,,,,,,,,,,,,,
570714700000005725,12/4/1981,7/12/2002,55,15,18,Vestas Wind Systems A/S,V 55-16 ,306,Odsherred,LAND,"Svenstrup By, Højby",10a,660911.9,6200582,Stamdata,032-09497,,,,,,,"55,890","70,600","49,210","60,840","53,460","81,370","43,410","90,260","72,700","77,060","78,300","84,620","79,650","63,000","74,900","82,690","65,760","74,300","63,340","35,505",,,,,,,,,,,,,,,,,,,,,,,
570714700000006265,11/1/1988,2/24/2011,150,22.2,30,DWP,D 150,306,Odsherred,LAND,"Starreklinte By, Vallekilde",2am,649425.6,6181350,Stamdata,40116658,,,,,,,,,,,,"21,980","257,240","285,900","263,340","254,100","244,620","297,680","286,040","217,200","261,940","298,540","237,647","255,830","194,219","237,793","201,664","170,221","187,612","171,313","252,605","189,869","173,802","188,757","13,996",,,,,,,,,,,,,,
570714700000006272,3/26/1982,10/22/2002,55,15,18,Vestas Wind Systems A/S,V 55-16 ,306,Odsherred,LAND,"Vig By, Vig",6e,660476.1,6192649,Stamdata,086-02835,,,,,,"50,098","31,760",0,"76,050","88,890","66,670","87,910","76,810","76,010","72,120","75,180","78,350","88,880","71,550","53,900","66,190","74,150","60,270","62,030","48,470","42,740",,,,,,,,,,,,,,,,,,,,,,,
570714700000000911,8/17/1994,11/14/2008,450,37,35,BONUS,150   - MK lll,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",23a,657275.3,6174905,Stamdata,008-00359,,,,,,,,,,,,,,,,,,"338,151","735,489","633,161","672,652","754,865","641,903","690,325","613,429","660,445","610,965","624,668","600,164","553,646","742,449","569,533",,,,,,,,,,,,,,,,,
570714700000000928,8/17/1994,11/14/2008,450,37,35,BONUS,150   - MK lll,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",23a,657252.3,6174726,Stamdata,008-00360,,,,,,,,,,,,,,,,,,"338,151","735,489","633,161","672,652","777,868","640,555","706,224","614,581","668,145","618,057","638,924","615,273","576,335","720,912","589,457",,,,,,,,,,,,,,,,,
570714700000000935,8/17/1994,11/14/2008,450,37,35,BONUS,150   - MK lll,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",23a,657229.1,6174548,Stamdata,008-00360,,,,,,,,,,,,,,,,,,"338,151","735,489","633,161","672,652","777,868","640,555","706,224","614,581","668,145","618,057","638,924","615,273","576,335","720,912","589,457",,,,,,,,,,,,,,,,,
570714700000005541,11/25/1988,11/14/2008,180,23,30,Danwin,DW 23-Danwin,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",8ac,657955.6,6174670,Stamdata,008-00338,,,,,,,,,,,,"47,580","288,975","314,535","283,260","300,075","301,695","313,950","286,395","235,545","261,915","304,830","239,527","238,442","213,641","239,864","230,714","229,545","192,474","197,232","230,811","230,779",,,,,,,,,,,,,,,,,
570714700000005558,11/26/1988,11/14/2008,180,23,30,Danwin,DW 23-Danwin,316,Holbæk,LAND,"Stigs Bjergby By, Stigs Bjergby",8ac,658039.301,6174528.764,Stamdata,008-00338,,,,,,,,,,,,"47,580","288,975","314,535","283,260","300,075","301,695","313,950","286,395","235,545","261,915","304,830","239,527","238,442","213,641","239,864","230,714","229,545","192,474","197,232","230,811","230,779",,,,,,,,,,,,,,,,,
570714700000005695,9/30/1988,6/14/2010,150,22,30,DWP,D 150,316,Holbæk,LAND,"Hjembæk By, Hjembæk",13c,650798.5,6175964,Stamdata,40054694,,,,,,,,,,,,"108,960","339,390","349,545","346,170","336,810","341,655","372,960","324,045","258,990","322,920","351,255","254,336","269,916","260,576","283,452","271,099","269,199","199,805","199,936","257,428","137,132","209,963","258,078","22,744",,,,,,,,,,,,,,
570714700000005701,9/30/1988,2/24/2011,150,22,30,DWP,D 150,316,Holbæk,LAND,"Hjembæk By, Hjembæk",13c,650925.9,6175909,Stamdata,40054694,,,,,,,,,,,,"108,960","339,390","349,545","346,170","336,810","341,655","372,960","324,045","258,990","322,920","351,255","254,336","269,916","260,576","283,452","271,099","269,199","199,805","199,936","257,428","137,132","209,963","258,078","22,744",,,,,,,,,,,,,,
570714700000005718,10/15/1981,5/31/2005,55,15,18,Nordtank,NTK 55/11,316,Holbæk,LAND,"Brokøb By, Holmstrup",4d,653271.85,6163981.694,Stamdata,031-00309,,,,,,,"67,300","74,980","8,040","56,860","59,360","67,360","58,600","64,340","61,840","58,490","64,980","71,330","59,710","48,130","53,760","61,720","48,180","51,590","47,290","47,420","48,728","52,748","19,500",,,,,,,,,,,,,,,,,,,,
570714700000005855,5/6/1982,5/17/2001,55,15,18,Eget fabrikat,Ukendt-Eget fabrikat,316,Holbæk,LAND,"Mørkøv By, Mørkøv",10c,657088.1,6170927,Stamdata,044-00941,,,,,,0,"4,380","4,360","1,320","1,680","2,080","3,340","3,080","1,760",480,140,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006036,8/13/1987,2/11/2002,90,18.8,23.2,Vestas Wind Systems A/S,V 19-90 ,316,Holbæk,LAND,"Nr. Eskilstrup By, Soderup",6c,675132.3,6165089,Stamdata,060-00702,,,,,,,,,,,"34,310","105,370","98,680","106,750","92,090","100,320","103,210","112,770","102,090","81,560","89,750","102,290","84,590","94,810","86,020",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006050,1/23/1987,3/25/2002,95,19,24,BONUS,97,316,Holbæk,LAND,"Vanløse By, Stenmagle",22e,667724.1,6161085,Stamdata,064-00985,,,,,,,,,,,"150,670","201,260","193,350","210,400","185,450","193,580","193,120","209,830","186,770","139,790","165,500","182,990","140,960","154,580","134,320","22,770",,,,,,,,,,,,,,,,,,,,,,,
570714700000006098,5/15/1979,3/3/2003,22,10,17,Sonebjerg,SM 22,316,Holbæk,LAND,"Svinninge By, Svinninge",32h,653599.5,6177736,Stamdata,068-01431,,,,,,,"13,511","10,086","13,980","15,819","12,185","16,942","8,745","14,003","10,763","12,546","12,563","13,713","14,452","8,913","7,443","13,979","11,548","11,809","9,962","11,097","1,589",,,,,,,,,,,,,,,,,,,,,,
570714700000006104,12/9/1988,11/17/2015,200,24,28.7,Wincon,W 200 ,316,Holbæk,LAND,"Hellestrup By, Sdr. Asmindrup",5d,668752.47,6172829.54,"GST, 18-02-2013",40037494,,,,,,,,,,,,0,"304,825","312,375","303,575","310,600","323,775","346,425","323,875","256,100","279,750","326,450","263,066","292,032","224,437","246,105","74,409","185,267","242,622","219,313","307,881","246,415","130,642","116,522","133,185","67,245",0,0,0,,,,,,,,,,
570714700000006111,12/9/1988,11/17/2015,200,24,28.7,Wincon,W 200 ,316,Holbæk,LAND,"Hellestrup By, Sdr. Asmindrup",5d,668783.37,6172929.34,"GST, 18-02-2013",40037494,,,,,,,,,,,,0,"304,825","312,375","303,575","310,600","323,775","346,425","323,875","256,100","279,750","326,450","263,066","292,032","224,437","246,105","74,409","185,267","242,622","219,313","307,881","246,415","130,642","116,522","133,185","67,245",0,0,0,,,,,,,,,,
570714700000006166,9/2/1980,8/31/2002,22,10,18,Kongsted,22-Kongsted,316,Holbæk,LAND,"Lunderød By, Tølløse",11b,674596.5,6168538,Stamdata,079-01778,,,,,,,"25,945","31,830","23,666","20,505","19,491","16,650","26,500","25,305","21,999","22,490","22,972","24,653","19,190","8,204","15,094","16,806","10,113","17,147","3,847",0,,,,,,,,,,,,,,,,,,,,,,,
570714700000006173,1/21/1988,8/31/2005,250,25.5,31,Dencon,TORNADO 250  ,316,Holbæk,LAND,"Kvamløse By, Tølløse",1a,675029.4,6167685,Stamdata,079-02040,,,,,,,,,,,,"278,670","338,910","367,020","325,560","338,610","313,650","374,190","358,410","252,060","315,300","325,740","270,760","321,036","222,795","272,375","263,927","90,510",0,,,,,,,,,,,,,,,,,,,,
570714700000006234,2/8/1988,2/5/2014,150,22,25,Vindsyssel,DK 22-Vindsyssel,316,Holbæk,LAND,"Løserup By, Ubby",5a,671247.13,6183947.86,"GST, 18-02-2013",40104637,,,,,,,,,,,,"187,120","234,260","249,480","209,400","224,620","246,480","274,020","225,320","198,480","177,360","270,620","253,891","244,282","231,266","239,760","239,693","226,936","221,365","185,607","209,620","47,379","202,882","33,021",0,0,0,0,,,,,,,,,,,
570714700000006241,11/17/1989,5/24/2007,150,22,25,Dan Force,DK 22-Dan Force,316,Holbæk,LAND,"Ubby By, Ubby",19b,671481.3,6182302,Stamdata,082-01451,,,,,,,,,,,,,"20,020","224,280","219,340","237,440","250,400","244,020","245,220","191,960","220,840","246,720","194,891","184,079","178,453","184,282","165,757","150,734","120,928","101,173","84,784",,,,,,,,,,,,,,,,,,
570714700000006531,7/1/1978,12/4/2002,55,0.1,0.1,Ukendt,Ukendt-Ukendt,320,Faxe,LAND,"Rejnstrup By, Fakse",1a,700006.507,6126101.935,Stamdata,135171,,"19,000","25,000","28,904","31,941","28,715","34,818","35,348","27,785","34,418","28,146","13,335","32,215","36,100","27,340","31,992","22,412","42,473","35,783","19,867","31,793","30,173","23,897","27,252","13,400","15,182",,,,,,,,,,,,,,,,,,,,,,,
570714700000006708,3/1/1982,6/21/2007,18.5,10.9,18,Kuriant,KE 18/4 EH-Kuriant,320,Faxe,LAND,Skuderløse By-Teestrup Sogn,14d,682666.366,6130883.638,Stamdata,144643,,,,,,"13,668","22,097","22,433","17,633","21,843","17,862","22,238","22,470","25,765","13,985","40,733","17,990","24,500","20,720","14,880","17,080","18,430","15,690","18,680","12,450","18,306","16,247","16,193","13,293","11,431","9,716",,,,,,,,,,,,,,,,,,
570714700000006937,8/2/1984,6/17/2002,55,15.3,18,Vestas Wind Systems A/S,V 55-11 ,320,Faxe,LAND,Haslev,29,689035.554,6133415.943,Stamdata,151942,,,,,,,,"19,559","59,705","76,345","60,609","77,907","82,600","89,610","77,460","87,250","76,320","100,330","86,260","62,710","78,370","85,433","68,954","80,338","61,044","33,730",,,,,,,,,,,,,,,,,,,,,,,
570714700000007026,12/3/1984,9/6/2002,55,15.3,23,Vestas Wind Systems A/S,V 55-11 ,320,Faxe,LAND,"Skuderløse By, Teestrup",11o,684512.575,6132240.948,Stamdata,153074,,,,,,,,"11,280","60,000","60,000","60,000","60,000","69,330","73,590","60,840","69,420","65,570","80,890","72,872","51,472","61,768","74,972","58,044","64,300","51,208","41,300",,,,,,,,,,,,,,,,,,,,,,,
570714700000007262,12/1/1986,10/30/2002,75,16,22,Vestas Wind Systems A/S,V 17-75 ,320,Faxe,LAND,"Lindersvold, Roholte",1ae,695754.541,6118910.968,Stamdata,155483,,,,,,,,,,"16,262","195,144","195,144","134,140","136,020","111,890","138,430","106,170","132,690","119,960","92,780","96,870","116,210","106,680","115,500","69,400","75,280",,,,,,,,,,,,,,,,,,,,,,,
570714700000007330,6/2/1986,5/16/2002,75,17,23,Windmatic,VM 17S 75/15/17,320,Faxe,LAND,"Simmendrup By, Øde Førslev",2a,693245.523,6138541.924,Stamdata,156816,,,,,,,,,,"69,651","130,000","130,000","130,733","127,350","127,600","134,350","113,517","146,383","134,533","111,450","123,083","128,716","122,942","121,292","100,204","58,608",,,,,,,,,,,,,,,,,,,,,,,
570714700000007347,6/2/1986,5/16/2002,75,17,23,Windmatic,VM 17S 75/15/17,320,Faxe,LAND,"Simmendrup By, Øde Førslev",2a,684958.558,6138276.925,Stamdata,156816,,,,,,,,,,"69,651","130,000","130,000","130,733","127,350","127,600","134,350","113,517","146,383","134,533","111,450","123,083","128,716","122,942","121,292","100,204","58,608",,,,,,,,,,,,,,,,,,,,,,,
570714700000007354,6/2/1986,5/16/2002,75,17,23,Windmatic,VM 17S 75/15/17,320,Faxe,LAND,"Simmendrup By, Øde Førslev",2a,685020.558,6138174.925,Stamdata,156816,,,,,,,,,,"69,651","130,000","130,000","130,733","127,350","127,600","134,350","113,517","146,383","134,533","111,450","123,083","128,716","122,942","121,292","100,204","58,608",,,,,,,,,,,,,,,,,,,,,,,
570714700000007415,8/1/1986,5/16/2002,75,17,23,Windmatic,VM 17 75,320,Faxe,LAND,"Simmendrup, Teestrup",2g,685058.559,6137957.926,Stamdata,157527,,,,,,,,,,"132,566","150,000","150,000","130,650","145,750","128,067","130,383","107,317","150,733","131,983","110,567","115,000","134,217","109,667","112,733","98,300","58,001",,,,,,,,,,,,,,,,,,,,,,,
570714700000007422,8/1/1986,5/16/2002,75,17,23,Windmatic,VM 17 75,320,Faxe,LAND,"Simmendrup, Teestrup",2g,685078.558,6138067.926,Stamdata,157527,,,,,,,,,,"132,566","150,000","150,000","130,650","145,750","128,067","130,383","107,317","150,733","131,983","110,567","115,000","134,217","109,667","112,733","98,300","58,001",,,,,,,,,,,,,,,,,,,,,,,
570714700000007439,8/1/1986,5/16/2002,75,17,23,Windmatic,VM 17 75,320,Faxe,LAND,"Simmendrup, Teestrup",2g,685013.559,6137847.927,Stamdata,157527,,,,,,,,,,"132,566","150,000","150,000","130,650","145,750","128,067","130,383","107,317","150,733","131,983","110,567","115,000","134,217","109,667","112,733","98,300","58,001",,,,,,,,,,,,,,,,,,,,,,,
